# r (Mpc/h)   mu   v12   v12_perp   v12_par   sigma12   sigma12_perp  sigma12_par
18.000 8.500e-01 -2.350e+02 -2.315e+02 -4.030e+01 4.539e+02 4.510e+02 3.447e+02
18.000 9.500e-01 -2.335e+02 -2.291e+02 -4.515e+01 4.549e+02 4.515e+02 3.449e+02
22.000 5.000e-02 -2.069e+02 -2.069e+02 -1.746e+00 4.491e+02 4.490e+02 3.470e+02
22.000 1.500e-01 -2.066e+02 -2.065e+02 -6.062e+00 4.484e+02 4.483e+02 3.473e+02
22.000 2.500e-01 -2.072e+02 -2.069e+02 -1.015e+01 4.481e+02 4.480e+02 3.460e+02
22.000 3.500e-01 -2.064e+02 -2.059e+02 -1.432e+01 4.483e+02 4.479e+02 3.470e+02
22.000 4.500e-01 -2.081e+02 -2.072e+02 -2.010e+01 4.496e+02 4.488e+02 3.484e+02
22.000 5.500e-01 -2.056e+02 -2.045e+02 -2.198e+01 4.482e+02 4.471e+02 3.490e+02
22.000 6.500e-01 -2.073e+02 -2.054e+02 -2.810e+01 4.485e+02 4.469e+02 3.495e+02
22.000 7.500e-01 -2.071e+02 -2.047e+02 -3.179e+01 4.488e+02 4.468e+02 3.491e+02
22.000 8.500e-01 -2.073e+02 -2.044e+02 -3.467e+01 4.493e+02 4.466e+02 3.505e+02
22.000 9.500e-01 -2.063e+02 -2.025e+02 -3.938e+01 4.471e+02 4.438e+02 3.510e+02
26.000 5.000e-02 -1.832e+02 -1.832e+02 -2.501e+00 4.457e+02 4.457e+02 3.536e+02
26.000 1.500e-01 -1.835e+02 -1.834e+02 -5.638e+00 4.451e+02 4.451e+02 3.536e+02
26.000 2.500e-01 -1.839e+02 -1.837e+02 -9.237e+00 4.452e+02 4.451e+02 3.529e+02
26.000 3.500e-01 -1.851e+02 -1.847e+02 -1.211e+01 4.466e+02 4.463e+02 3.546e+02
26.000 4.500e-01 -1.844e+02 -1.837e+02 -1.642e+01 4.461e+02 4.454e+02 3.547e+02
26.000 5.500e-01 -1.823e+02 -1.812e+02 -2.019e+01 4.439e+02 4.429e+02 3.540e+02
26.000 6.500e-01 -1.828e+02 -1.811e+02 -2.442e+01 4.446e+02 4.433e+02 3.557e+02
26.000 7.500e-01 -1.837e+02 -1.817e+02 -2.697e+01 4.442e+02 4.423e+02 3.563e+02
26.000 8.500e-01 -1.824e+02 -1.799e+02 -3.065e+01 4.453e+02 4.430e+02 3.567e+02
26.000 9.500e-01 -1.827e+02 -1.793e+02 -3.503e+01 4.438e+02 4.408e+02 3.573e+02
30.000 5.000e-02 -1.631e+02 -1.631e+02 -2.470e+00 4.428e+02 4.428e+02 3.589e+02
30.000 1.500e-01 -1.637e+02 -1.636e+02 -5.207e+00 4.433e+02 4.432e+02 3.593e+02
30.000 2.500e-01 -1.637e+02 -1.635e+02 -8.178e+00 4.423e+02 4.421e+02 3.585e+02
30.000 3.500e-01 -1.638e+02 -1.634e+02 -1.198e+01 4.430e+02 4.426e+02 3.589e+02
30.000 4.500e-01 -1.623e+02 -1.616e+02 -1.489e+01 4.423e+02 4.417e+02 3.591e+02
30.000 5.500e-01 -1.633e+02 -1.624e+02 -1.753e+01 4.436e+02 4.427e+02 3.601e+02
30.000 6.500e-01 -1.631e+02 -1.618e+02 -2.081e+01 4.425e+02 4.413e+02 3.592e+02
30.000 7.500e-01 -1.627e+02 -1.608e+02 -2.485e+01 4.430e+02 4.413e+02 3.605e+02
30.000 8.500e-01 -1.633e+02 -1.609e+02 -2.791e+01 4.429e+02 4.408e+02 3.618e+02
30.000 9.500e-01 -1.629e+02 -1.599e+02 -3.127e+01 4.429e+02 4.403e+02 3.621e+02
34.000 5.000e-02 -1.456e+02 -1.455e+02 -1.129e+00 4.427e+02 4.427e+02 3.645e+02
34.000 1.500e-01 -1.445e+02 -1.445e+02 -4.703e+00 4.421e+02 4.420e+02 3.651e+02
